status,days_held,tp,sl,last_px,close_date,sources,date,tk,initial_sl,period,entry_metric,features,sector,partial_tp_hit,px,mcap,fx_entry,fx_exit,curr_metric,tag,tp1_price,feature_score
OPEN,16,,48.21,64.1,,['S&P600_小型'],2026-07-24,RNG,44.28,FWD,,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 70.3}",N/A,True,48.21,0,,,RS: 97,🏆 VCP 突破,56.08,3
OPEN,16,,2732.0,2968.0,,['TOPIX_Small500_小型'],2026-07-24,3076.T,2684.51,FWD,,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 58.6}",N/A,True,2732.0,0,163.832,,RS: 82,🏆 VCP 突破,2826.98,3
OPEN,13,121.16,94.47,111.19,,['S&P600_小型'],2026-07-29,CAKE,94.47,FWD,RS: 94,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 84.5}",Consumer Cyclical,False,101.14,5532884992,,,RS: 95,⚡ 缺口動能,114.48,2
OPEN,13,,161.66,181.42,,['S&P600_小型'],2026-07-29,GKOS,150.94,FWD,,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 61.5}",Healthcare,True,161.66,10700865536,,,RS: 94,💥 BB 擠壓,183.1,2
OPEN,11,19876.43,12947.86,14395.0,,['TOPIX_Mid400_中型'],2026-07-31,6368.T,12947.86,FWD,RS: 80,"{'mss': True, 'smc': False, 'amd': True, 'ml_rsi': 46.7}",N/A,False,14680.0,0,160.183,,RS: 78,⚡ 缺口動能,18144.28,2
OPEN,11,12285.71,9620.0,10790.0,,['TOPIX_Small500_小型'],2026-07-31,6508.T,8731.43,FWD,RS: 96,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 57.8}",Industrials,True,9620.0,489477046272,160.183,,RS: 97,⚡ 缺口動能,11397.14,3
OPEN,8,,19.72,22.19,,['S&P600_小型'],2026-08-03,WT,19.72,FWD,,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 60.3}",Financial Services,False,20.99,3362053888,,,RS: 88,🏆 VCP 突破,23.53,3
OPEN,8,2670.29,2208.57,2303.0,,['TOPIX_Small500_小型'],2026-08-03,3762.T,2208.57,FWD,RS: 86,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 82.1}",Technology,False,2324.0,92546392064,157.582,,RS: 85,⚡ 缺口動能,2554.86,2
OPEN,7,,174.78,179.0,,['S&P500_大盤'],2026-08-04,EXPD,174.78,FWD,,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 55.0}",Industrials,False,181.48,23268321280,,,RS: 81,🏆 VCP 突破,194.88,3
OPEN,7,,3904.0,4206.0,,['TOPIX_Mid400_中型'],2026-08-04,4206.T,3824.36,FWD,,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 63.4}",Industrials,True,3904.0,266137419776,157.529,,RS: 82,🏆 VCP 突破,4063.28,3
OPEN,6,2147.64,1690.79,1922.0,,"['NK225', 'TOPIX_Mid400_中型']",2026-08-05,7272.T,1690.79,FWD,RS: 97,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 84.6}",Consumer Cyclical,False,1805.0,1865743335424,157.692,,RS: 97,⚡ 缺口動能,2033.42,2
OPEN,5,8233.29,6347.57,6874.0,,"['NK225', 'TOPIX_Mid400_中型']",2026-08-06,6645.T,6347.57,FWD,RS: 96,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 77.8}",Technology,False,6819.0,1351630454784,157.6,,RS: 96,⚡ 缺口動能,7761.86,2
OPEN,2,,33.23,36.6,,['S&P600_小型'],2026-08-07,AMN,33.23,FWD,,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 58.5}",Healthcare,False,36.0,1419569408,,,RS: 97,🏆 VCP 突破,41.54,3
OPEN,2,2745.0,2177.0,2306.0,,['TOPIX_Small500_小型'],2026-08-07,2681.T,2177.0,FWD,RS: 93,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 71.6}",Consumer Cyclical,False,2319.0,91740684288,158.409,,RS: 93,⚡ 缺口動能,2603.0,2
