mcap,sl,fx_entry,fx_exit,tk,days_held,sector,feature_score,px,tp1_price,entry_rs,curr_rs,status,curr_metric,date,tag,initial_sl,sources,period,close_date,features,tp,last_px,partial_tp_hit,entry_metric
111705956352,2270.26,147.097,,9267.T,5,Healthcare,,4540.53,,100,100,OPEN,RS: 100,2025-09-01,🅱️ RS 核心,2270.26,['TOPIX_Small500_小型'],FWD,,,,4744.88,False,RS: 100
10467878912,161.66,,,GKOS,37,Healthcare,2,161.66,183.1,,,OPEN,RS: 97,2026-07-29,💥 BB 擠壓,150.94,['S&P600_小型'],FWD,,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 61.5, 'rv_pct': 0.048, 'bd_pct': 0.913}",,180.35,True,
23092508672,147.33,,,ROKU,31,Communication Services,2,147.33,151.93,,,OPEN,RS: 92,2026-08-04,🏆 VCP 突破,145.03,['S&P400_中型'],FWD,,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 69.2, 'rv_pct': 0.048, 'bd_pct': 0.25}",,158.31,True,
1829340839936,1690.79,157.692,,7272.T,30,Consumer Cyclical,2,1805.0,2033.42,,,OPEN,RS: 95,2026-08-05,⚡ 缺口動能,1690.79,"['NK225', 'TOPIX_Mid400_中型']",FWD,,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 84.6, 'rv_pct': 0.98, 'bd_pct': 1.0}",2147.64,1884.5,False,RS: 94
6650094080,135.33,,,ANF,9,Consumer Cyclical,2,147.75,172.59,,,OPEN,RS: 93,2026-08-26,⚡ 缺口動能,135.33,['S&P400_中型'],FWD,,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 74.7, 'rv_pct': 0.27, 'bd_pct': 0.861}",185.02,143.54,False,RS: 90
247201972224,10448.93,159.321,,9110.T,7,Industrials,0,10480.0,10542.14,,,OPEN,RS: 95,2026-08-28,💥 BB 擠壓,10448.93,['TOPIX_Small500_小型'],FWD,,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 60.0, 'rv_pct': 0.016, 'bd_pct': 0.992}",,10490.0,False,
5755433385984,10272.5,159.747,,4062.T,3,Technology,,20545.0,,100,100,OPEN,RS: 100,2026-09-01,🅱️ RS 核心,10272.5,['TOPIX_Mid400_中型'],FWD,,,,20475.0,False,RS: 100
58108788736,77.14,,,MRNA,3,Healthcare,,154.27,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,77.14,['S&P500_大盤'],FWD,,,,148.87,False,RS: 99
2704240279552,1929.0,159.747,,5801.T,3,Industrials,,3858.0,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,1929.0,"['NK225', 'TOPIX_Mid400_中型']",FWD,,,,3844.0,False,RS: 99
829008248832,5775.0,159.747,,8050.T,3,Consumer Cyclical,,11550.0,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,5775.0,['TOPIX_Small500_小型'],FWD,,,,10140.0,False,RS: 99
79048572928,434.48,,,LITE,3,Technology,,868.95,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,434.48,"['S&P500_大盤', 'NDX100_科技']",FWD,,,,847.37,False,RS: 99
22523416674304,8747.5,159.747,,6098.T,3,Communication Services,,17495.0,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,8747.5,['NK225'],FWD,,,,16235.0,False,RS: 99
2946149646336,8010.0,159.747,,4004.T,3,Basic Materials,,16020.0,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,8010.0,"['NK225', 'TOPIX_Mid400_中型']",FWD,,,,15530.0,False,RS: 99
256570736640,4905.0,159.747,,7826.T,3,Technology,,9810.0,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,4905.0,['TOPIX_Small500_小型'],FWD,,,,10430.0,False,RS: 99
0,56.69,,,CORT,3,N/A,,113.38,,99,99,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,56.69,['S&P600_小型'],FWD,,,,112.8,False,RS: 99
9720293228544,2229.5,159.747,,6752.T,3,Technology,,4459.0,,99,99,OPEN,RS: 98,2026-09-01,🅱️ RS 核心,2229.5,['NK225'],FWD,,,,4163.0,False,RS: 99
468698923008,950.0,159.747,,7389.T,3,Financial Services,,1900.0,,98,98,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,950.0,['TOPIX_Small500_小型'],FWD,,,,1923.0,False,RS: 98
8812027904,37.49,,,PBF,3,Energy,,74.99,,98,98,OPEN,RS: 98,2026-09-01,🅱️ RS 核心,37.49,['S&P400_中型'],FWD,,,,75.33,False,RS: 98
69028167680,25.43,,,HPE,3,Technology,,50.87,,98,98,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,25.43,['S&P500_大盤'],FWD,,,,54.44,False,RS: 98
386432598016,4885.0,159.747,,8388.T,3,Financial Services,,9770.0,,98,98,OPEN,RS: 99,2026-09-01,🅱️ RS 核心,4885.0,['TOPIX_Small500_小型'],FWD,,,,9940.0,False,RS: 98
573541777408,1225.0,159.747,,8368.T,3,Financial Services,,2450.0,,98,98,OPEN,RS: 98,2026-09-01,🅱️ RS 核心,1225.0,['TOPIX_Small500_小型'],FWD,,,,2376.0,False,RS: 98
271606906880,181.04,,,PANW,3,Technology,,362.09,,98,98,OPEN,RS: 95,2026-09-01,🅱️ RS 核心,181.04,"['S&P500_大盤', 'NDX100_科技']",FWD,,,,331.94,False,RS: 98
4863567872,6.3,,,LFST,3,Healthcare,,12.6,,98,98,OPEN,RS: 98,2026-09-01,🅱️ RS 核心,6.3,['S&P600_小型'],FWD,,,,12.83,False,RS: 98
18740197376,51.99,,,DINO,3,Energy,,103.97,,98,98,OPEN,RS: 97,2026-09-01,🅱️ RS 核心,51.99,['S&P400_中型'],FWD,,,,106.15,False,RS: 98
368149954560,953.5,159.747,,5301.T,3,Basic Materials,,1907.0,,98,98,OPEN,RS: 97,2026-09-01,🅱️ RS 核心,953.5,"['NK225', 'TOPIX_Mid400_中型']",FWD,,,,1819.5,False,RS: 98
218200522752,107.54,,,CRWD,3,Technology,,215.07,,98,98,OPEN,RS: 97,2026-09-01,🅱️ RS 核心,107.54,"['S&P500_大盤', 'NDX100_科技']",FWD,,,,214.97,False,RS: 98
338669076480,439.84,,,DELL,2,Technology,2,492.2,596.92,,,OPEN,RS: 99,2026-09-02,⚡ 缺口動能,439.84,['S&P500_大盤'],FWD,,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 49.5, 'rv_pct': 0.365, 'bd_pct': 0.159}",649.28,516.39,False,RS: 99
29824450560,157.8,,,OKTA,6,Technology,3,172.91,203.13,,,❌ STOP LOSS,RS: 98,2026-08-27,⚡ 缺口動能,157.8,['S&P400_中型'],FWD,2026-09-02,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 64.7, 'rv_pct': 0.835, 'bd_pct': 0.766}",218.23,157.8,False,RS: 98
338669076480,214.51,,,DELL,20,Technology,,429.02,,99,99,✅ RS 換倉平倉,RS: 99,2026-08-03,🅱️ RS 核心,214.51,['S&P500_大盤'],FWD,2026-09-01,,,425.0,False,RS: 99
829008248832,4260.0,157.582,159.747,8050.T,20,Consumer Cyclical,,8520.0,,99,99,✅ RS 換倉平倉,RS: 99,2026-08-03,🅱️ RS 核心,4260.0,['TOPIX_Small500_小型'],FWD,2026-09-01,,,11550.0,False,RS: 99
12161595392,43.01,,,ARWR,20,Healthcare,,86.01,,99,99,✅ RS 換倉平倉,RS: 97,2026-08-03,🅱️ RS 核心,43.01,['S&P400_中型'],FWD,2026-09-01,,,82.74,False,RS: 99
229062901760,1890.0,157.582,159.747,6376.T,20,Industrials,,3780.0,,98,98,✅ RS 換倉平倉,RS: 98,2026-08-03,🅱️ RS 核心,1890.0,['TOPIX_Small500_小型'],FWD,2026-09-01,,,3775.0,False,RS: 98
6145680384,41.92,,,LQDA,20,Healthcare,,83.85,,98,98,✅ RS 換倉平倉,RS: 98,2026-08-03,🅱️ RS 核心,41.92,['S&P600_小型'],FWD,2026-09-01,,,66.91,False,RS: 98
6026970624,44.56,,,VSXY,20,Consumer Cyclical,,89.11,,98,98,✅ RS 換倉平倉,RS: 99,2026-08-03,🅱️ RS 核心,44.56,['S&P600_小型'],FWD,2026-09-01,,,84.17,False,RS: 98
