partial_tp_hit,mcap,period,tk,initial_sl,tag,close_date,sector,days_held,fx_entry,fx_exit,sources,status,tp,last_px,entry_metric,px,tp1_price,sl,entry_rs,curr_metric,date,curr_rs
False,4705944576,OOS,TDW,31.32,🅱️ RS 核心,,Energy,20,,,['S&P600_小型'],OPEN,,42.52,RS: 99,36.85,,31.32,99,RS: 99,2023-01-02,99
False,6895912448,OOS,WFRD,41.96,🅱️ RS 核心,,Energy,20,,,['S&P400_中型'],OPEN,,54.33,RS: 99,49.37,,41.96,99,RS: 99,2023-01-02,99
False,51515039744,OOS,3660.T,458.58,🅱️ RS 核心,,Consumer Cyclical,20,130.845,,['TOPIX_Small500_小型'],OPEN,,488.74,RS: 99,539.51,,458.58,99,RS: 99,2023-01-02,99
False,142395326464,OOS,6632.T,292.29,🅱️ RS 核心,,Consumer Cyclical,20,130.845,,['TOPIX_Mid400_中型'],OPEN,,332.69,RS: 99,343.87,,292.29,99,RS: 99,2023-01-02,99
False,31404525568,OOS,FTI,10.15,🅱️ RS 核心,,Energy,20,,,['S&P400_中型'],OPEN,,12.76,RS: 99,11.94,,10.15,99,RS: 99,2023-01-02,99
False,135403724800,OOS,4776.T,1998.3,🅱️ RS 核心,,Technology,20,130.845,,['TOPIX_Small500_小型'],OPEN,,2356.76,RS: 99,2350.94,,1998.3,99,RS: 99,2023-01-02,99
False,6338049024,OOS,ELF,47.0,🅱️ RS 核心,,Consumer Defensive,20,,,['S&P400_中型'],OPEN,,54.17,RS: 99,55.3,,47.0,99,RS: 99,2023-01-02,99
False,75087339520,OOS,5480.T,2991.52,🅱️ RS 核心,,Basic Materials,20,130.845,,['TOPIX_Small500_小型'],OPEN,,3823.27,RS: 99,3519.44,,2991.52,99,RS: 99,2023-01-02,99
False,2428365312,OOS,SRPT,110.14,🅱️ RS 核心,,Healthcare,20,,,['S&P600_小型'],OPEN,,130.22,RS: 99,129.58,,110.14,99,RS: 98,2023-01-02,99
False,6231169024,OOS,VAL,57.48,🅱️ RS 核心,,Energy,20,,,['S&P400_中型'],OPEN,,74.44,RS: 98,67.62,,57.48,98,RS: 98,2023-01-02,98
False,1571915825152,OOS,8136.T,262.17,🅱️ RS 核心,,Consumer Cyclical,20,130.845,,['TOPIX_Mid400_中型'],OPEN,,291.01,RS: 98,308.43,,262.17,98,RS: 98,2023-01-02,98
False,7998437888,OOS,CELH,29.48,🅱️ RS 核心,,Consumer Defensive,20,,,['S&P400_中型'],OPEN,,33.29,RS: 98,34.68,,29.48,98,RS: 97,2023-01-02,98
False,96196435968,OOS,2681.T,1742.74,🅱️ RS 核心,,Consumer Cyclical,20,130.845,,['TOPIX_Small500_小型'],OPEN,,1759.67,RS: 98,2050.29,,1742.74,98,RS: 97,2023-01-02,98
False,157198663680,OOS,8337.T,374.94,🅱️ RS 核心,,Financial Services,20,130.845,,['TOPIX_Small500_小型'],OPEN,,448.86,RS: 98,441.1,,374.94,98,RS: 98,2023-01-02,98
False,35392512000,OOS,ALNY,202.0,🅱️ RS 核心,,Healthcare,20,,,['NDX100_科技'],OPEN,,229.65,RS: 98,237.65,,202.0,98,RS: 98,2023-01-02,98
False,99968131072,OOS,7433.T,2933.37,🅱️ RS 核心,,Technology,20,130.845,,['TOPIX_Small500_小型'],OPEN,,3595.68,RS: 98,3451.03,,2933.37,98,RS: 99,2023-01-02,98
False,8680546304,OOS,TGTX,10.06,🅱️ RS 核心,,Healthcare,20,,,['S&P600_小型'],OPEN,,12.34,RS: 98,11.83,,10.06,98,RS: 98,2023-01-02,98
False,85204664320,OOS,SLB,41.47,🅱️ RS 核心,,Energy,20,,,['S&P500_大盤'],OPEN,,52.34,RS: 98,48.79,,41.47,98,RS: 98,2023-01-02,98
False,83831947264,OOS,2353.T,234.53,🅱️ RS 核心,2023-01-13,Industrials,11,130.845,129.172,['TOPIX_Small500_小型'],❌ RS 硬止損,,234.52,RS: 99,275.91,,234.53,99,RS: 99,2023-01-02,99
False,157436428288,OOS,2767.T,1032.86,🅱️ RS 核心,2023-01-12,Consumer Cyclical,10,130.845,131.902,['TOPIX_Small500_小型'],❌ RS 硬止損,,1032.86,RS: 100,1215.13,,1032.86,100,RS: 100,2023-01-02,100
False,3006108160,IS,TMDX,52.5,🅱️ RS 核心,2023-01-02,Healthcare,22,,,['S&P600_小型'],✅ RS 換倉平倉,,61.72,RS: 100,61.76,,52.5,100,RS: 100,2022-12-01,100
False,101195579392,IS,5726.T,3279.31,🅱️ RS 核心,2023-01-02,Basic Materials,22,137.359,130.845,['TOPIX_Small500_小型'],✅ RS 換倉平倉,,3646.55,RS: 100,3858.01,,3279.31,100,RS: 99,2022-12-01,100
False,4836060672,IS,CNR,58.88,🅱️ RS 核心,2023-01-02,Energy,22,,,['S&P600_小型'],✅ RS 換倉平倉,,61.76,RS: 99,69.27,,58.88,99,RS: 99,2022-12-01,99
False,157436428288,IS,2767.T,877.95,🅱️ RS 核心,2023-01-02,Consumer Cyclical,22,137.359,130.845,['TOPIX_Small500_小型'],✅ RS 換倉平倉,,1215.13,RS: 99,1032.88,,877.95,99,RS: 100,2022-12-01,99
False,22291384320,IS,FSLR,143.26,🅱️ RS 核心,2023-01-02,Technology,22,,,['S&P500_大盤'],✅ RS 換倉平倉,,149.79,RS: 99,168.54,,143.26,99,RS: 99,2022-12-01,99
False,51515039744,IS,3660.T,453.5,🅱️ RS 核心,2023-01-02,Consumer Cyclical,22,137.359,130.845,['TOPIX_Small500_小型'],✅ RS 換倉平倉,,539.51,RS: 99,533.53,,453.5,99,RS: 99,2022-12-01,99
False,2753634816,IS,AMR,135.74,🅱️ RS 核心,2023-01-02,Basic Materials,22,,,['S&P600_小型'],✅ RS 換倉平倉,,144.92,RS: 99,159.7,,135.74,99,RS: 98,2022-12-01,99
False,6338049024,IS,ELF,47.09,🅱️ RS 核心,2023-01-02,Consumer Defensive,22,,,['S&P400_中型'],✅ RS 換倉平倉,,55.3,RS: 99,55.4,,47.09,99,RS: 99,2022-12-01,99
False,142395326464,IS,6632.T,297.05,🅱️ RS 核心,2023-01-02,Consumer Cyclical,22,137.359,130.845,['TOPIX_Mid400_中型'],✅ RS 換倉平倉,,343.87,RS: 99,349.47,,297.05,99,RS: 99,2022-12-01,99
