date,tk,name,tag,mkt,sector,entry_rs,curr_rs,px,last_px,shares,status,fx_entry,fx_exit,mcap,sources,cfg
2026-09-04,SNDK,Sandisk Corporation,🅱️ RS 核心,US,Technology,100,100,1740.0,1869.04,2.8736,OPEN,,,254769070080,"['S&P500', 'NDX100']",N20|trd1|liq0.35
2026-09-04,MRNA,"Moderna, Inc.",🅱️ RS 核心,US,Healthcare,99,99,145.55,185.94,34.3525,OPEN,,,58108788736,['S&P500'],N20|trd1|liq0.35
2026-09-04,MU,"Micron Technology, Inc.",🅱️ RS 核心,US,Technology,99,99,1016.59,1092.25,4.9184,OPEN,,,1148129771520,"['S&P500', 'NDX100']",N20|trd1|liq0.35
2026-09-04,5801.T,FURUKAWA ELECTRIC CO,🅱️ RS 核心,JP,Industrials,99,99,3844.0,3901.0,200,OPEN,156.221,157.866,2704240279552,"['NK225', 'TOPIX400']",N20|trd1|liq0.35
2026-09-04,DELL,Dell Technologies Inc.,🅱️ RS 核心,US,Technology,99,99,524.14,557.59,9.5394,OPEN,,,338669076480,['S&P500'],N20|trd1|liq0.35
2026-09-04,LITE,Lumentum Holdings Inc.,🅱️ RS 核心,US,Technology,99,99,881.26,943.36,5.6737,OPEN,,,79048572928,"['S&P500', 'NDX100']",N20|trd1|liq0.35
2026-09-04,MRVL,"Marvell Technology, Inc.",🅱️ RS 核心,US,Technology,99,99,223.55,262.95,22.3664,OPEN,,,200905424896,"['S&P500', 'NDX100']",N20|trd1|liq0.35
2026-09-04,7389.T,AICHI FINANCIAL GROUP INC,🅱️ RS 核心,JP,Financial Services,99,98,1923.0,1977.0,400,OPEN,156.221,157.866,468698923008,['TOPIX500'],N20|trd1|liq0.35
2026-09-04,CORT,Corcept Therapeutics Incorporat,🅱️ RS 核心,US,Healthcare,99,98,111.62,118.2,44.7948,OPEN,,,12065943552,['S&P600'],N20|trd1|liq0.35
2026-09-04,HPE,Hewlett Packard Enterprise Comp,🅱️ RS 核心,US,Technology,99,99,52.0,62.03,96.1538,OPEN,,,69028167680,['S&P500'],N20|trd1|liq0.35
2026-09-04,NBIS,Nebius Group N.V.,🅱️ RS 核心,US,Communication Services,99,97,226.39,229.62,22.0858,OPEN,,,61545304064,['NDX100'],N20|trd1|liq0.35
2026-09-04,LFST,"LifeStance Health Group, Inc.",🅱️ RS 核心,US,Healthcare,98,97,12.73,12.41,392.773,OPEN,,,4863567872,['S&P600'],N20|trd1|liq0.35
2026-09-04,8368.T,HYAKUGO BANK,🅱️ RS 核心,JP,Financial Services,98,99,2376.0,2481.0,300,OPEN,156.221,157.866,573541777408,['TOPIX500'],N20|trd1|liq0.35
2026-09-04,7762.T,CITIZEN WATCH CO LTD,🅱️ RS 核心,JP,Consumer Cyclical,98,96,2613.0,2345.0,200,OPEN,156.221,157.866,637555048448,"['NK225', 'TOPIX500']",N20|trd1|liq0.35
2026-09-04,8386.T,HYAKUJUSHI BANK,🅱️ RS 核心,JP,Financial Services,98,98,3115.0,3140.0,200,OPEN,156.221,157.866,352270974976,['TOPIX500'],N20|trd1|liq0.35
2026-09-04,ARWR,"Arrowhead Pharmaceuticals, Inc.",🅱️ RS 核心,US,Healthcare,98,89,86.34,71.3,57.9106,OPEN,,,12195909632,['S&P400'],N20|trd1|liq0.35
2026-09-04,8346.T,TOHO BANK,🅱️ RS 核心,JP,Financial Services,98,98,992.0,1024.0,700,OPEN,156.221,157.866,247888297984,['TOPIX500'],N20|trd1|liq0.35
2026-09-04,RNG,"Ringcentral, Inc.",🅱️ RS 核心,US,Technology,98,98,73.39,81.14,68.1292,OPEN,,,6128517120,['S&P600'],N20|trd1|liq0.35
2026-09-04,8366.T,SHIGA BANK,🅱️ RS 核心,JP,Financial Services,98,97,2862.0,2883.0,200,OPEN,156.221,157.866,657914789888,['TOPIX500'],N20|trd1|liq0.35
2026-09-04,HUM,Humana Inc.,🅱️ RS 核心,US,Healthcare,98,95,401.54,371.5,12.4521,OPEN,,,48217047040,['S&P500'],N20|trd1|liq0.35
